outer_L,inner,inner_L,inner_R,outer_R,x,stoich,disc_prob,disc_valid,rules,layers,human_valid,reason
Mo,Zr,,,Mo,C,MX2,0.998582363,1,1 4 9 6 36 6 19,Mo C Zr C Mo,1,
Mo,Ti,,,Mo,C,MX2,0.998590052,1,1 4 9 6 35 6 19,Mo C Ti C Mo,1,
Mo,,Ti,Ti,Mo,C,MX3,0.998581052,1,2 5 9 6 45 6 55 6 19,Mo C Ti C Ti C Mo,1,
Mo,Ti,,,Mo,N,MX2,0.998526216,1,1 4 9 7 35 7 19,Mo N Ti N Mo,1,
Mo,,,,Mo,C,MX1,0.998597205,1,0 3 9 6 19,Mo C Mo,1,
Sc,Nb,,,Mo,N,MX2,0.074087217,0,1 4 11 7 33 7 19,Sc N Nb N Mo,0,
Mo,,Sc,Sc,Mo,C,MX3,0.998500347,1,2 5 9 6 41 6 51 6 19,Mo C Sc C Sc C Mo,1,
Cr,Sc,,,Mo,N,MX2,0.000985501,0,1 4 8 7 31 7 19,Cr N Sc N Mo,0,
Mo,Ta,,,Mo,C,MX2,0.998468697,1,1 4 9 6 34 6 19,Mo C Ta C Mo,1,
Mo,Sc,,,Mo,C,MX2,0.99850297,1,1 4 9 6 31 6 19,Mo C Sc C Mo,1,
Mo,Hf,,,Mo,C,MX2,0.998573065,1,1 4 9 6 37 6 19,Mo C Hf C Mo,1,
Sc,,Ta,Ti,Mo,C,MX3,0.000699273,0,2 5 11 6 44 6 55 6 19,Sc C Ta C Ti C Mo,0,
Mo,Nb,,,Mo,C,MX2,0.998479068,1,1 4 9 6 33 6 19,Mo C Nb C Mo,1,
W,,,,Mo,N,MX1,0.000813769,0,0 3 10 7 19,W N Mo,0,
Mo,,Nb,Ti,Mo,C,MX3,0.00078507,0,2 5 9 6 43 6 55 6 19,Mo C Nb C Ti C Mo,0,
Mo,,,,Mo,N,MX1,0.998546541,1,0 3 9 7 19,Mo N Mo,1,
Cr,Ti,,,Mo,C,MX2,0.000584657,0,1 4 8 7 35 6 19,Cr C Ti C Mo,0,
Ta,,Ti,Ti,Ta,C,MX3,0.990995586,1,2 5 14 6 45 6 55 6 24,Ta C Ti C Ti C Ta,1,
Ti,,,,Ti,N,MX1,0.998168945,1,0 3 15 7 25,Ti N Ti,1,
