outer_L,inner,inner_L,inner_R,outer_R,x,stoich,disc_prob,disc_valid,rules,layers,human_valid,reason
Sc,Hf,,,Sc,C,MX2,0.001968024,0,1 4 11 6 37 6 21,Sc C Hf C Sc,0,
Mo,Sc,,,Mo,C,MX2,0.982930839,1,1 4 9 6 31 6 19,Mo C Sc C Mo,1,
Mo,,Ti,Ti,Mo,N,MX3,0.988006949,1,2 5 9 7 45 7 55 7 19,Mo N Ti N Ti N Mo,1,
V,,Ti,Ti,V,N,MX3,0.985827327,1,2 5 12 7 45 7 55 7 22,V N Ti N Ti N V,1,
Mo,,Zr,Zr,Mo,C,MX3,0.986854434,1,2 5 9 6 46 6 56 6 19,Mo C Zr C Zr C Mo,1,
Sc,Ta,,,Sc,C,MX2,0.984555423,1,1 4 11 6 34 6 21,Sc C Ta C Sc,1,
Ta,Ti,,,Ta,C,MX2,0.987581253,1,1 4 14 6 35 6 24,Ta C Ti C Ta,1,
W,Ti,,,W,N,MX2,0.988169551,1,1 4 10 7 35 7 20,W N Ti N W,1,
Mo,Ta,,,Mo,C,MX2,0.988349795,1,1 4 9 6 34 6 19,Mo C Ta C Mo,1,
Mo,,Sc,Sc,Mo,C,MX3,0.983262658,1,2 5 9 6 41 6 51 6 19,Mo C Sc C Sc C Mo,1,
Ta,,Hf,Hf,Ta,C,MX3,0.978203893,1,2 5 14 6 47 6 57 6 24,Ta C Hf C Hf C Ta,1,
Mo,,,,Mo,N,MX1,0.98788327,1,0 3 9 7 19,Mo N Mo,1,
Cr,,Ta,Ta,Cr,C,MX3,0.985351563,1,2 5 8 6 44 6 54 6 18,Cr C Ta C Ta C Cr,1,
W,,V,V,W,C,MX3,0.612933874,1,2 5 10 6 42 6 52 6 20,W C V C V C W,0,
Ti,,,,Ti,C,MX1,0.965972006,1,0 3 15 6 25,Ti C Ti,1,
Mo,V,,,Mo,N,MX2,0.986837268,1,1 4 9 7 32 7 19,Mo N V N Mo,0,
Ta,,Ti,Ti,Ta,C,MX3,0.987209201,1,2 5 14 6 45 6 55 6 24,Ta C Ti C Ti C Ta,1,
Sc,Hf,,,Sc,N,MX2,0.976740837,1,1 4 11 7 37 7 21,Sc N Hf N Sc,0,
W,,,,W,C,MX1,0.987716615,1,0 3 10 6 20,W C W,1,
Sc,,V,V,Sc,C,MX3,0.171214864,0,2 5 11 6 42 6 52 6 21,Sc C V C V C Sc,0,
Mo,,Zr,Zr,Mo,N,MX3,0.988053501,1,2 5 9 7 46 7 56 7 19,Mo N Zr N Zr N Mo,0,
Nb,Ti,,,Nb,N,MX2,0.987578094,1,1 4 13 7 35 7 23,Nb N Ti N Nb,1,
Ta,,,,Ta,C,MX1,0.987056255,1,0 3 14 6 24,Ta C Ta,1,
W,,Sc,Sc,W,C,MX3,0.612904847,1,2 5 10 6 41 6 51 6 20,W C Sc C Sc C W,1,
Sc,,V,V,Sc,N,MX3,0.959834933,1,2 5 11 7 42 7 52 7 21,Sc N V N V N Sc,0,
Cr,Ti,,,Cr,C,MX2,0.98765856,1,1 4 8 6 35 6 18,Cr C Ti C Cr,1,
V,,,,V,C,MX1,0.98259145,1,0 3 12 6 22,V C V,2,
Sc,,Nb,Nb,Sc,N,MX3,0.986245275,1,2 5 11 7 43 7 53 7 21,Sc N Nb N Nb N Sc,1,
Hf,,,,Hf,N,MX1,0.987029433,1,0 3 17 7 27,Hf N Hf,1,
Cr,Nb,,,Cr,C,MX2,0.002003891,0,1 4 8 6 33 6 18,Cr C Nb C Cr,0,
W,,Ta,Ta,W,N,MX3,0.987110138,1,2 5 10 7 44 7 54 7 20,W N Ta N Ta N W,0,
Ta,,Cr,Cr,Ta,C,MX3,0.001351221,0,2 5 14 6 38 6 48 6 24,Ta C Cr C Cr C Ta,1,
Mo,,Hf,Hf,Mo,N,MX3,0.98803097,1,2 5 9 7 47 7 57 7 19,Mo N Hf N Hf N Mo,0,
Cr,Ti,,,Cr,N,MX2,0.98817575,1,1 4 8 7 35 7 18,Cr N Ti N Cr,1,
Nb,Zr,,,Nb,C,MX2,0.987173796,1,1 4 13 6 36 6 23,Nb C Zr C Nb,1,
Ta,Sc,,,Ta,C,MX2,0.001399314,0,1 4 14 6 31 6 24,Ta C Sc C Ta,1,
Sc,,Zr,Zr,Sc,N,MX3,0.968678653,1,2 5 11 7 46 7 56 7 21,Sc N Zr N Zr N Sc,0,
V,Ti,,,V,N,MX2,0.986801922,1,1 4 12 7 35 7 22,V N Ti N V,1,
Mo,,Ti,Ti,Mo,C,MX3,0.988298535,1,2 5 9 6 45 6 55 6 19,Mo C Ti C Ti C Mo,1,
Mo,Ta,,,Mo,N,MX2,0.988123953,1,1 4 9 7 34 7 19,Mo N Ta N Mo,1,
Cr,,Ti,Ti,Cr,N,MX3,0.987827659,1,2 5 8 7 45 7 55 7 18,Cr N Ti N Ti N Cr,1,
V,,,,V,N,MX1,0.986924112,1,0 3 12 7 22,V N V,1,
